Group ID,Major,Course
15,"Anthropology, BA",ANTHRO electives 15
16,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 221
16,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 222
17,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 234
17,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 375 & MATH 376
18,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 247
18,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 207
18,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 201
19,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 248
19,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 208
19,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 202
20,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 249
20,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 241
20,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 205
20,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS/E C E  235
21,"Applied Mathematics, Engineering, and Physics, BS AMEP",CHEM 109
21,"Applied Mathematics, Engineering, and Physics, BS AMEP",CHEM 103 & CHEM 104
21,"Applied Mathematics, Engineering, and Physics, BS AMEP",CHEM 115
22,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 320
22,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 340
22,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 341
22,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 375
23,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 320
23,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 319
23,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 376
24,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 321
24,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 322
25,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 415
25,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 421
25,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH/STAT  431
25,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH/STAT  309
25,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 443
25,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH/COMP SCI  513
25,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH/COMP SCI  514
25,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 519
25,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 521
25,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 522
25,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 531
25,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 561
25,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 616
25,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 619
25,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 623
25,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 627
25,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH/I SY E/OTM/STAT  632
26,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 311
26,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 322
27,"Applied Mathematics, Engineering, and Physics, BS AMEP",Chemical and Biological Engineering (CBE) 300-699
27,"Applied Mathematics, Engineering, and Physics, BS AMEP",Civil and Environmental Engineering (CIV ENGR) 300-699
27,"Applied Mathematics, Engineering, and Physics, BS AMEP",Industrial and Systems Engineering (I SY E) 300-699
28,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 307
28,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 321
28,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 325
28,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 407
28,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 623
28,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 625
29,"Applied Mathematics, Engineering, and Physics, BS AMEP",COMP SCI 412
29,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH/COMP SCI  513
29,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH/COMP SCI  514
30,"Applied Social Science, BLS",INTER-LS 301
30,"Applied Social Science, BLS",INTER-LS 302
31,"Applied Social Science, BLS",PHILOS 243
31,"Applied Social Science, BLS",COM ARTS 325
31,"Applied Social Science, BLS",COM ARTS 371
31,"Applied Social Science, BLS",COM ARTS 373
31,"Applied Social Science, BLS",JOURN 162
31,"Applied Social Science, BLS",STAT 301
31,"Applied Social Science, BLS",LINGUIS 237
31,"Applied Social Science, BLS",SOC/C&E SOC  357
31,"Applied Social Science, BLS",SOC/C&E SOC  360
31,"Applied Social Science, BLS",GEOG 307
31,"Applied Social Science, BLS",LEGAL ST/POLI SCI  217
32,"Applied Social Science, BLS",INTER-LS 601
32,"Applied Social Science, BLS",INTER-LS 602
33,"Art History, BA",ART HIST 102
33,"Art History, BA",ART HIST 104
33,"Art History, BA",ART HIST 106
33,"Art History, BA",ART HIST 107
33,"Art History, BA",ART HIST/RELIG ST  115
33,"Art History, BA",ART HIST 130
33,"Art History, BA",ART HIST/ASIAN  179
33,"Art History, BA",ART HIST 201
33,"Art History, BA",ART HIST 202
33,"Art History, BA",ART HIST 205
33,"Art History, BA",ART HIST 206
33,"Art History, BA",ART HIST 210
33,"Art History, BA",ART HIST 227
33,"Art History, BA",ART HIST/ENVIR ST/GEOG/HISTORY/LAND ARC  239
33,"Art History, BA",ART HIST/AFROAMER  241
33,"Art History, BA",ART HIST/AFROAMER  242
33,"Art History, BA",ART HIST/ANTHRO/DS/HISTORY/LAND ARC  264
34,"Art History, BA",ART HIST/CLASSICS  300
34,"Art History, BA",ART HIST 301
34,"Art History, BA",ART HIST 302
34,"Art History, BA",ART HIST 303
34,"Art History, BA",ART HIST/CLASSICS  304
34,"Art History, BA",ART HIST 305
34,"Art History, BA",ART HIST 307
34,"Art History, BA",ART HIST 308
34,"Art History, BA",ART HIST 310
34,"Art History, BA",ART HIST 318
34,"Art History, BA",ART HIST 320
34,"Art History, BA",ART HIST 323
34,"Art History, BA",ART HIST 335
34,"Art History, BA",ART HIST 336
34,"Art History, BA",ART HIST 337
34,"Art History, BA",ART HIST 338
34,"Art History, BA",ART HIST 346
34,"Art History, BA",ART HIST 350
34,"Art History, BA",ART HIST 354
34,"Art History, BA",ART HIST 355
34,"Art History, BA",ART HIST 357
34,"Art History, BA",ART HIST 360
34,"Art History, BA",ART HIST 364
34,"Art History, BA",ART HIST 365
34,"Art History, BA",ART HIST/RELIG ST  373
34,"Art History, BA",ART HIST/ASIAN  379
35,"Art History, BA",ART HIST 403
35,"Art History, BA",ART HIST 405
35,"Art History, BA",ART HIST 407
35,"Art History, BA",ART HIST 408
35,"Art History, BA",ART HIST 409
35,"Art History, BA",ART HIST 411
35,"Art History, BA",ART HIST 412
35,"Art History, BA",ART HIST 413
35,"Art History, BA",ART HIST/MEDIEVAL  415
35,"Art History, BA",ART HIST 420
35,"Art History, BA",ART HIST/ASIAN  428
35,"Art History, BA",ART HIST 430
35,"Art History, BA",ART HIST 431
35,"Art History, BA",ART HIST 435
35,"Art History, BA",ART HIST 436
35,"Art History, BA",ART HIST 437
35,"Art History, BA",ART HIST 438
35,"Art History, BA",ART HIST 440
35,"Art History, BA",ART HIST 457
35,"Art History, BA",ART HIST 468
35,"Art History, BA",ART HIST 475
35,"Art History, BA",ART HIST/RELIG ST  478
35,"Art History, BA",ART HIST 480
35,"Art History, BA",ART HIST 481
35,"Art History, BA",ART HIST 601
35,"Art History, BA",ART HIST 602
35,"Art History, BA",ART HIST 603
36,"Art History, BA",ART HIST 500
36,"Art History, BA",ART HIST 505
36,"Art History, BA",ART HIST 506
36,"Art History, BA",ART HIST 510
36,"Art History, BA",ART HIST 515
36,"Art History, BA",ART HIST 535
36,"Art History, BA",ART HIST 555
36,"Art History, BA",ART HIST 556
36,"Art History, BA",ART HIST 563
36,"Art History, BA",ART HIST 567
36,"Art History, BA",ART HIST 575
36,"Art History, BA",ART HIST 576
36,"Art History, BA",ART HIST/ASIAN  621
37,"Art History, BA",ART HIST 100-699
38,"Art History, BA",ART HIST/CLASSICS  300
38,"Art History, BA",ART HIST 301
38,"Art History, BA",ART HIST 302
38,"Art History, BA",ART HIST/CLASSICS  304
38,"Art History, BA",ART HIST 305
38,"Art History, BA",ART HIST 307
38,"Art History, BA",ART HIST 310
38,"Art History, BA",ART HIST 318
38,"Art History, BA",ART HIST 335
38,"Art History, BA",ART HIST/RELIG ST  373
38,"Art History, BA",ART HIST/ASIAN  379
38,"Art History, BA",ART HIST 405
38,"Art History, BA",ART HIST 413
38,"Art History, BA",ART HIST/MEDIEVAL  415
38,"Art History, BA",ART HIST/ASIAN  428
38,"Art History, BA",ART HIST 435
38,"Art History, BA",ART HIST 440
38,"Art History, BA",ART HIST 475
38,"Art History, BA",ART HIST/RELIG ST  478
39,"Art History, BA",ART HIST 305
39,"Art History, BA",ART HIST 308
39,"Art History, BA",ART HIST 320
39,"Art History, BA",ART HIST 323
39,"Art History, BA",ART HIST 336
39,"Art History, BA",ART HIST 360
39,"Art History, BA",ART HIST 364
39,"Art History, BA",ART HIST/RELIG ST  373
39,"Art History, BA",ART HIST/ASIAN  379
39,"Art History, BA",ART HIST 420
39,"Art History, BA",ART HIST 436
39,"Art History, BA",ART HIST 475
40,"Art History, BA",ART HIST 308
40,"Art History, BA",ART HIST 337
40,"Art History, BA",ART HIST 346
40,"Art History, BA",ART HIST 350
40,"Art History, BA",ART HIST 354
40,"Art History, BA",ART HIST 355
40,"Art History, BA",ART HIST 357
40,"Art History, BA",ART HIST 364
40,"Art History, BA",ART HIST/ASIAN  379
40,"Art History, BA",ART HIST 407
40,"Art History, BA",ART HIST 408
40,"Art History, BA",ART HIST/ASIAN  428
40,"Art History, BA",ART HIST 437
40,"Art History, BA",ART HIST 440
40,"Art History, BA",ART HIST 457
40,"Art History, BA",ART HIST 468
40,"Art History, BA",ART HIST 475
40,"Art History, BA",ART HIST 480
41,"Art History, BA",ART HIST 337
41,"Art History, BA",ART HIST 346
41,"Art History, BA",ART HIST 354
41,"Art History, BA",ART HIST 355
41,"Art History, BA",ART HIST 364
41,"Art History, BA",ART HIST 365
41,"Art History, BA",ART HIST/RELIG ST  373
41,"Art History, BA",ART HIST/ASIAN  379
41,"Art History, BA",ART HIST 408
41,"Art History, BA",ART HIST 409
41,"Art History, BA",ART HIST/ASIAN  428
41,"Art History, BA",ART HIST 437
41,"Art History, BA",ART HIST 440
41,"Art History, BA",ART HIST 457
41,"Art History, BA",ART HIST 468
41,"Art History, BA",ART HIST 475
41,"Art History, BA",ART HIST 480
41,"Art History, BA",ART HIST 481
42,"Art History, BA",ART HIST/AFROAMER  242
42,"Art History, BA",ART HIST 305
42,"Art History, BA",ART HIST 354
42,"Art History, BA",ART HIST/RELIG ST  373
42,"Art History, BA",ART HIST/ASIAN  379
42,"Art History, BA",ART HIST 412
42,"Art History, BA",ART HIST 413
42,"Art History, BA",ART HIST 481
43,"Art History, BA",ART HIST 305
43,"Art History, BA",ART HIST 338
43,"Art History, BA",ART HIST/RELIG ST  373
43,"Art History, BA",ART HIST/ASIAN  379
43,"Art History, BA",ART HIST 412
43,"Art History, BA",ART HIST 413
43,"Art History, BA",ART HIST 440
43,"Art History, BA",ART HIST 480
44,"Art History, BA",ART HIST 307
44,"Art History, BA",ART HIST 308
44,"Art History, BA",ART HIST 338
44,"Art History, BA",ART HIST/ASIAN  379
44,"Art History, BA",ART HIST 411
44,"Art History, BA",ART HIST/ASIAN  428
44,"Art History, BA",ART HIST 475
44,"Art History, BA",ART HIST/RELIG ST  478
44,"Art History, BA",ART HIST 480
45,"Art History, BA",ART HIST/CLASSICS  300
45,"Art History, BA",ART HIST 301
45,"Art History, BA",ART HIST 302
45,"Art History, BA",ART HIST/CLASSICS  304
45,"Art History, BA",ART HIST 310
45,"Art History, BA",ART HIST 318
45,"Art History, BA",ART HIST 320
45,"Art History, BA",ART HIST 323
45,"Art History, BA",ART HIST 346
45,"Art History, BA",ART HIST 350
45,"Art History, BA",ART HIST 354
45,"Art History, BA",ART HIST 355
45,"Art History, BA",ART HIST 360
45,"Art History, BA",ART HIST 365
45,"Art History, BA",ART HIST 405
45,"Art History, BA",ART HIST 407
45,"Art History, BA",ART HIST 408
45,"Art History, BA",ART HIST 409
45,"Art History, BA",ART HIST/MEDIEVAL  415
45,"Art History, BA",ART HIST 420
45,"Art History, BA",ART HIST 481
46,"Art History, BA",ART HIST 355
46,"Art History, BA",ART HIST 357
46,"Art History, BA",ART HIST 364
46,"Art History, BA",ART HIST 365
46,"Art History, BA",ART HIST 409
46,"Art History, BA",ART HIST 457
46,"Art History, BA",ART HIST 468
46,"Art History, BA",ART HIST 480
46,"Art History, BA",ART HIST 481
47,"Art History, BA",ART HIST 354
47,"Art History, BA",ART HIST 355
47,"Art History, BA",ART HIST 365
47,"Art History, BA",ART HIST 409
47,"Art History, BA",ART HIST/ASIAN  428
47,"Art History, BA",ART HIST 430
47,"Art History, BA",ART HIST 431
47,"Art History, BA",ART HIST 481
47,"Art History, BA",ART HIST 601
47,"Art History, BA",ART HIST 602
47,"Art History, BA",ART HIST 603
47,"Art History, BA",ART HIST/ASIAN  621
47,"Art History, BA",ART HIST/HISTORY/JOURN/L I S  650
48,"Asian Languages and Cultures, BA",ASIAN 100
49,"Asian Languages and Cultures, BA",ASIALANG 201 & ASIALANG 202
49,"Asian Languages and Cultures, BA",ASIALANG 203 & ASIALANG 204
49,"Asian Languages and Cultures, BA",ASIALANG 205 & ASIALANG 206
50,"Asian Languages and Cultures, BA",ASIALANG 233 & ASIALANG 234
50,"Asian Languages and Cultures, BA",ASIALANG 237 & ASIALANG 238
50,"Asian Languages and Cultures, BA",ASIALANG 235 & ASIALANG 236
50,"Asian Languages and Cultures, BA",ASIALANG 239 & ASIALANG 240
50,"Asian Languages and Cultures, BA",ASIALANG 241 & ASIALANG 242
51,"Asian Languages and Cultures, BA",ASIALANG 229 & ASIALANG 230
51,"Asian Languages and Cultures, BA",ASIALANG 223 & ASIALANG 224
51,"Asian Languages and Cultures, BA",ASIALANG 225 & ASIALANG 226
51,"Asian Languages and Cultures, BA",ASIALANG 227 & ASIALANG 228
51,"Asian Languages and Cultures, BA",ASIALANG 231 & ASIALANG 232
52,"Asian Languages and Cultures, BA",ASIAN/HISTORY  103
52,"Asian Languages and Cultures, BA",ASIAN/HISTORY  104
52,"Asian Languages and Cultures, BA",ASIAN/HISTORY  108
52,"Asian Languages and Cultures, BA",ASIAN 253
52,"Asian Languages and Cultures, BA",ASIAN/HISTORY/POLI SCI  255
52,"Asian Languages and Cultures, BA",ASIAN 301
52,"Asian Languages and Cultures, BA",ASIAN/SOC  334
52,"Asian Languages and Cultures, BA",ASIAN/HISTORY  335
52,"Asian Languages and Cultures, BA",ASIAN/SOC  336
52,"Asian Languages and Cultures, BA",ASIAN/HISTORY  337
52,"Asian Languages and Cultures, BA",ASIAN/HISTORY  341
52,"Asian Languages and Cultures, BA",ASIAN/HISTORY  342
52,"Asian Languages and Cultures, BA",ASIAN 351
52,"Asian Languages and Cultures, BA",ASIAN 352
52,"Asian Languages and Cultures, BA",ASIAN 353
52,"Asian Languages and Cultures, BA",ASIAN 354
52,"Asian Languages and Cultures, BA",ASIAN 355
52,"Asian Languages and Cultures, BA",ASIAN 357
52,"Asian Languages and Cultures, BA",ASIAN 358
52,"Asian Languages and Cultures, BA",ASIAN 361
52,"Asian Languages and Cultures, BA",ASIAN/HISTORY  363
52,"Asian Languages and Cultures, BA",ASIAN 367
52,"Asian Languages and Cultures, BA",ASIAN 371
52,"Asian Languages and Cultures, BA",ASIAN 372
52,"Asian Languages and Cultures, BA",ASIAN 373
52,"Asian Languages and Cultures, BA",ASIAN 374
52,"Asian Languages and Cultures, BA",ASIAN 375
52,"Asian Languages and Cultures, BA",ASIAN 376
52,"Asian Languages and Cultures, BA",ASIAN 378
52,"Asian Languages and Cultures, BA",ASIAN 432
52,"Asian Languages and Cultures, BA",ASIAN 433
52,"Asian Languages and Cultures, BA",ASIAN 434
52,"Asian Languages and Cultures, BA",ASIAN 435
52,"Asian Languages and Cultures, BA",ASIAN/HISTORY  454
52,"Asian Languages and Cultures, BA",ASIAN/HISTORY  456
52,"Asian Languages and Cultures, BA",ANTHRO 357
52,"Asian Languages and Cultures, BA",ART HIST 307
52,"Asian Languages and Cultures, BA",ART HIST 308
52,"Asian Languages and Cultures, BA",ART HIST 475
52,"Asian Languages and Cultures, BA",ART HIST/RELIG ST  478
52,"Asian Languages and Cultures, BA",ED POL 245
52,"Asian Languages and Cultures, BA",HISTORY 145
52,"Asian Languages and Cultures, BA",HISTORY/INTL ST  332
52,"Asian Languages and Cultures, BA",HISTORY/ASIAN  335
52,"Asian Languages and Cultures, BA",HISTORY 336
52,"Asian Languages and Cultures, BA",HISTORY 340
52,"Asian Languages and Cultures, BA",LITTRANS 231
52,"Asian Languages and Cultures, BA",LITTRANS 232
52,"Asian Languages and Cultures, BA",LITTRANS 261
52,"Asian Languages and Cultures, BA",LITTRANS 263
52,"Asian Languages and Cultures, BA",LITTRANS 264
52,"Asian Languages and Cultures, BA",LITTRANS 373
52,"Asian Languages and Cultures, BA",POLI SCI 324
52,"Asian Languages and Cultures, BA",POLI SCI 328
52,"Asian Languages and Cultures, BA",POLI SCI 346
53,"Asian Languages and Cultures, BA",ASIAN/ART HIST  179
53,"Asian Languages and Cultures, BA",ASIAN/RELIG ST  206
53,"Asian Languages and Cultures, BA",ASIAN/LITTRANS  212
53,"Asian Languages and Cultures, BA",ASIAN/RELIG ST  218
53,"Asian Languages and Cultures, BA",ASIAN 252
53,"Asian Languages and Cultures, BA",ASIAN 268
53,"Asian Languages and Cultures, BA",ASIAN/RELIG ST  274
53,"Asian Languages and Cultures, BA",ASIAN/RELIG ST  303
53,"Asian Languages and Cultures, BA",ASIAN/RELIG ST  306
53,"Asian Languages and Cultures, BA",ASIAN/RELIG ST  307
53,"Asian Languages and Cultures, BA",ASIAN/HISTORY/RELIG ST  308
53,"Asian Languages and Cultures, BA",ASIAN 311
53,"Asian Languages and Cultures, BA",ASIAN/AFRICAN/RELIG ST  370
53,"Asian Languages and Cultures, BA",ASIAN/ART HIST  379
53,"Asian Languages and Cultures, BA",ASIAN/RELIG ST  405
53,"Asian Languages and Cultures, BA",ASIAN/ART HIST  428
53,"Asian Languages and Cultures, BA",ASIAN/RELIG ST  430
53,"Asian Languages and Cultures, BA",ASIAN/COM ARTS  443
53,"Asian Languages and Cultures, BA",ASIAN/RELIG ST  460
53,"Asian Languages and Cultures, BA",ASIAN/HISTORY  463
53,"Asian Languages and Cultures, BA",ASIAN/RELIG ST  466
53,"Asian Languages and Cultures, BA",ASIAN/RELIG ST  473
53,"Asian Languages and Cultures, BA",ASIAN/ENGL  478
53,"Asian Languages and Cultures, BA",ART HIST 305
53,"Asian Languages and Cultures, BA",ART HIST/RELIG ST  373
53,"Asian Languages and Cultures, BA",ENGL/ASIAN  478
53,"Asian Languages and Cultures, BA",ENGL/THEATRE  577
53,"Asian Languages and Cultures, BA",HISTORY 142
53,"Asian Languages and Cultures, BA",HISTORY/GNS  265
53,"Asian Languages and Cultures, BA",HISTORY 450
53,"Asian Languages and Cultures, BA",POLI SCI 370
54,"Asian Languages and Cultures, BA",ASIAN/GEOG/HISTORY/POLI SCI/SOC  244
54,"Asian Languages and Cultures, BA",ASIAN/ASIAN AM/HISTORY  246
54,"Asian Languages and Cultures, BA",ASIAN/AFRICAN/RELIG ST  370
54,"Asian Languages and Cultures, BA",ASIAN 403
54,"Asian Languages and Cultures, BA",ASIAN/HISTORY  458
54,"Asian Languages and Cultures, BA",ASIAN AM 170
54,"Asian Languages and Cultures, BA",ASIAN AM 441
54,"Asian Languages and Cultures, BA",GEOG 358
54,"Asian Languages and Cultures, BA",GEOG/ENVIR ST  557
54,"Asian Languages and Cultures, BA",HISTORY/ASIAN  319
54,"Asian Languages and Cultures, BA",HISTORY/ASIAN  458
54,"Asian Languages and Cultures, BA",POLI SCI 323
